"Идентификатор";"Наименование УБИ";"Объект воздействия (источник)";"Применимость";"Тематика";"Область исключённой угрозы (анализ)";"Программный объект (анализ)";"Обоснование отбора (анализ)";"Почему не подходит для ПО (анализ)";"Условие применимости (анализ)";"Описание (источник)";"Источник угрозы";"Нарушение конфиденциальности";"Нарушение целостности";"Нарушение доступности";"Статус угрозы";"Дата включения";"Дата изменения";"Замечания";"Источник"
"УБИ.001";"Угроза автоматического распространения вредоносного кода в грид-системе";"Ресурсные центры грид-системы";"Вне области анализа ПО";"Вне области ПО";"Грид-системы и суперкомпьютеры";"";"Сценарий обусловлен автоматизацией и распределением ресурсных центров грид-системы, а не самостоятельным механизмом программного продукта.";"Сценарий обусловлен автоматизацией и распределением ресурсных центров грид-системы, а не самостоятельным механизмом программного продукта.";"";"Угроза заключается в возможности внедрения и запуска вредоносного кода от имени доверенного процесса на любом из ресурсных центров грид-системы и его автоматического распространения на все узлы грид-системы. 
Данная угроза обусловлена слабостями технологии грид-вычислений – высоким уровнем автоматизации при малой администрируемости грид-системы.
Реализация данной угрозы возможна при условии наличия у нарушителя привилегий легального пользователя грид-системы";"Внешний нарушитель со средним потенциалом; Внутренний нарушитель со средним потенциалом";"1";"1";"1";"Опубликована";"2015-03-20 00:00:00";"2019-02-08 00:00:00";"";"thrlist.xlsx · Sheet · строка 3"
"УБИ.002";"Угроза агрегирования данных, передаваемых в грид-системе";"Сетевой трафик";"Вне области анализа ПО";"Вне области ПО";"Грид-системы и суперкомпьютеры";"";"Перехват и агрегирование трафика территориально распределённых грид-вычислений относится к грид-инфраструктуре.";"Перехват и агрегирование трафика территориально распределённых грид-вычислений относится к грид-инфраструктуре.";"";"Угроза заключается в возможности раскрытия нарушителем защищаемой информации путём выявления задействованных в её обработке узлов, сбора, анализа и обобщения данных, перехватываемых в сети передачи данных грид-системы.
Данная угроза обусловлена слабостью технологии грид-вычислений – использованием незащищённых каналов сети Интернет как транспортной сети грид-системы.
Реализация данной угрозы возможна при условии наличия у нарушителя:
сил и средств, достаточных для компенсации чрезвычайной распределённости грид-заданий между узлами грид-системы;
привилегий, достаточных для перехвата трафика сети передачи данных между элементами (узлами) грид-системы";"Внешний нарушитель со средним потенциалом";"1";"0";"0";"Опубликована";"2015-03-20 00:00:00";"2019-02-08 00:00:00";"";"thrlist.xlsx · Sheet · строка 4"
"УБИ.004";"Угроза аппаратного сброса пароля BIOS";"Микропрограммное и аппаратное обеспечение BIOS/UEFI";"Вне области анализа ПО";"Вне области ПО";"Аппаратные средства";"";"Пароль сбрасывается физическим обесточиванием микросхемы или перестановкой перемычки системной платы.";"Пароль сбрасывается физическим обесточиванием микросхемы или перестановкой перемычки системной платы.";"";"Угроза заключается в возможности сброса паролей, установленных в BIOS/UEFI без прохождения процедуры авторизации в системе путём обесточивания микросхемы BIOS (съёма аккумулятора) или установки перемычки в штатном месте на системной плате (переключение «джампера»).
Данная угроза обусловлена уязвимостями некоторых системных (материнских) плат – наличием механизмов аппаратного сброса паролей, установленных в BIOS/UEFI.
Реализация данной угрозы возможна при условии наличия у нарушителя физического доступа к системному блоку компьютера";"Внутренний нарушитель с низким потенциалом";"0";"1";"0";"Опубликована";"2015-03-20 00:00:00";"2019-02-08 00:00:00";"";"thrlist.xlsx · Sheet · строка 6"
"УБИ.011";"Угроза деавторизации санкционированного клиента беспроводной сети";"Сетевой узел";"Вне области анализа ПО";"Вне области ПО";"Сетевая инфраструктура";"";"Подмена MAC-адреса для разрыва соединения относится к доступности беспроводной сети и её узлов.";"Подмена MAC-адреса для разрыва соединения относится к доступности беспроводной сети и её узлов.";"";"Угроза заключается в возможности автоматического разрыва соединения беспроводной точки доступа с санкционированным клиентом беспроводной сети.
Данная угроза обусловлена слабостью технологий сетевого взаимодействия по беспроводным каналам передачи данных – сведения о МАС-адресах беспроводных клиентов доступны всем участникам сетевого взаимодействия.
Реализация данной угрозы возможна при условии подключения нарушителем к беспроводной сети устройства, МАС-адрес которого будет полностью совпадать с МАС-адресом дискредитируемого санкционированного клиента";"Внешний нарушитель с низким потенциалом; Внутренний нарушитель с низким потенциалом";"0";"0";"1";"Опубликована";"2015-03-20 00:00:00";"2019-02-08 00:00:00";"";"thrlist.xlsx · Sheet · строка 13"
"УБИ.020";"Угроза злоупотребления возможностями, предоставленными потребителям облачных услуг";"Облачная система, виртуальная машина";"Вне области анализа ПО";"Вне области ПО";"Облачная инфраструктура";"";"Сценарий описывает злоупотребление арендованными облачными ресурсами и репутационные последствия для провайдера; отдельная уязвимость продукта не задана.";"Сценарий описывает злоупотребление арендованными облачными ресурсами и репутационные последствия для провайдера; отдельная уязвимость продукта не задана.";"";"Угроза заключается в возможности осуществления потребителем облачных услуг (нарушителем) рассылки спама, несанкционированного доступа к виртуальным машинам других потребителей облачных услуг или осуществления других деструктивных программных воздействий на различные системы с помощью арендованных ресурсов облачного сервера.
Данная угроза обусловлена тем, что потребитель облачных услуг может устанавливать собственное программное обеспечение на облачный сервер.
Реализация данной угрозы возможна путём установки и запуска потребителем облачных услуг вредоносного программного обеспечения на облачный сервер. Успешная реализация данной угрозы потребителем облачных услуг оказывает негативное влияние на репутацию поставщика облачных услуг";"Внутренний нарушитель с низким потенциалом";"1";"1";"1";"Опубликована";"2015-03-20 00:00:00";"2019-02-08 00:00:00";"";"thrlist.xlsx · Sheet · строка 22"
"УБИ.021";"Угроза злоупотребления доверием потребителей облачных услуг";"Облачная система";"Вне области анализа ПО";"Вне области ПО";"Организация и персонал";"";"Угроза обусловлена передачей ответственности сотрудникам облачного провайдера и отсутствием организационного контроля потребителя.";"Угроза обусловлена передачей ответственности сотрудникам облачного провайдера и отсутствием организационного контроля потребителя.";"";"Угроза заключается в возможности нарушения (случайно или намеренно) защищённости информации потребителей облачных услуг внутренними нарушителями поставщика облачных услуг.
Данная угроза обусловлена тем, что значительная часть функций безопасности переведена в сферу ответственности поставщика облачных услуг, а также невозможностью принятия потребителем облачных услуг мер защиты от действий сотрудников поставщика облачных услуг.
Реализация данной угрозы возможна при условии того, что потребители облачных услуг не входят в состав организации, осуществляющей оказание данных облачных услуг (т.е. потребитель действительно передал поставщику собственную информацию для осуществления её обработки)";"Внешний нарушитель с низким потенциалом";"1";"1";"0";"Опубликована";"2015-03-20 00:00:00";"2019-02-08 00:00:00";"";"thrlist.xlsx · Sheet · строка 23"
"УБИ.023";"Угроза изменения компонентов информационной (автоматизированной) системы";"Информационная система, сервер, рабочая станция, виртуальная машина, системное программное обеспечение, прикладное программное обеспечение, аппаратное обеспечение";"Вне области анализа ПО";"Вне области ПО";"Аппаратные средства";"";"Несмотря на упоминание программных компонентов, описание связывает сценарий с контролем аппаратной конфигурации и подключением периферийного оборудования.";"Несмотря на упоминание программных компонентов, описание связывает сценарий с контролем аппаратной конфигурации и подключением периферийного оборудования.";"";"Угроза заключается в возможности получения нарушителем доступа к сети, файлам, внедрения закладок и т.п. путём несанкционированного изменения состава программных или аппаратных средств информационной системы, что в дальнейшем позволит осуществлять данному нарушителю (или другому - внешнему, обнаружившему несанкционированный канал доступа в систему) несанкционированные действия в данной системе.
Данная угроза обусловлена слабостями мер контроля за целостностью аппаратной конфигурации информационной системы.
Реализация данной угрозы возможна при условии успешного получения нарушителем необходимых полномочий в системе и возможности подключения дополнительного периферийного оборудования";"Внутренний нарушитель с низким потенциалом";"1";"1";"1";"Опубликована";"2015-03-20 00:00:00";"2019-11-15 00:00:00";"";"thrlist.xlsx · Sheet · строка 25"
"УБИ.024";"Угроза изменения режимов работы аппаратных элементов компьютера";"Микропрограммное и аппаратное обеспечение BIOS/UEFI";"Вне области анализа ПО";"Вне области ПО";"Аппаратные средства";"";"Цель сценария — изменение электрических, температурных и частотных режимов аппаратуры, вплоть до физического повреждения.";"Цель сценария — изменение электрических, температурных и частотных режимов аппаратуры, вплоть до физического повреждения.";"";"Угроза заключается в возможности изменения нарушителем режимов работы аппаратных элементов компьютера путём несанкционированного переконфигурирования BIOS/UEFI, что позволяет:
за счёт изменения частоты системной шины, режима передачи данных по каналам связи и т.п. повлиять на общую производительность компьютера или вызвать сбои в его работе;
за счёт понижения входного напряжения, отключения систем охлаждения временно обеспечить неработоспособность компьютера;
за счёт задания недопустимых параметров работы устройств (порогового значения отключения устройства при перегреве, входного напряжения и т.п.) привести к физическому выходу из строя отдельных аппаратных элементов компьютера.
Данная угроза обусловлена слабостями технологий разграничения доступа к управлению BIOS/UEFI.
Реализация данной угрозы возможна при условии наличия у нарушителя привилегий на изменение соответствующих параметров настройки BIOS/UEFI";"Внутренний нарушитель с высоким потенциалом";"0";"1";"1";"Опубликована";"2015-03-20 00:00:00";"2019-02-08 00:00:00";"";"thrlist.xlsx · Sheet · строка 26"
"УБИ.040";"Угроза конфликта юрисдикций различных стран";"Облачная система";"Вне области анализа ПО";"Вне области ПО";"Организация и персонал";"";"Причина — конфликт применимых национальных юрисдикций при трансграничных облачных услугах, а не программный механизм.";"Причина — конфликт применимых национальных юрисдикций при трансграничных облачных услугах, а не программный механизм.";"";"Угроза заключается в возможности отказа в трансграничной передаче защищаемой информации в рамках оказания облачных услуг в соответствии с требованиями локального законодательства стран, резиденты которых участвуют в оказании облачных услуг.
Данная угроза обусловлена тем, что в зависимости от особенностей законодательства различных стран, резиденты которых участвуют в оказании облачных услуг, при обеспечении информационной безопасности могут использоваться правовые меры различных юрисдикций.
Реализация данной угрозы возможна при условии того, что на обеспечение информационной безопасности в ходе оказания облачных услуг накладываются правовые меры различных юрисдикций, противоречащих друг другу в ряде вопросов";"Внешний нарушитель с низким потенциалом";"0";"0";"1";"Опубликована";"2015-03-20 00:00:00";"2019-02-08 00:00:00";"";"thrlist.xlsx · Sheet · строка 42"
"УБИ.043";"Угроза нарушения доступности облачного сервера";"Облачная система, облачный сервер";"Вне области анализа ПО";"Вне области ПО";"Облачная инфраструктура";"";"Описание касается доступности облачной инфраструктуры и зависимостей серверов и сервисов без выделенного механизма уязвимости программного продукта.";"Описание касается доступности облачной инфраструктуры и зависимостей серверов и сервисов без выделенного механизма уязвимости программного продукта.";"";"Угроза заключается в возможности прекращения оказания облачных услуг всем потребителям (или группе потребителей) из-за нарушения доступности для них облачной инфраструктуры.
Данная угроза обусловлена тем, что обеспечение доступности не является специфичным требованием безопасности информации для облачных технологий, и, кроме того, облачные системы реализованы в соответствии с сервис-ориентированным подходом.
Реализация данной угрозы возможна при переходе одного или нескольких облачных серверов в состояние «отказ в обслуживании». Более того, способность динамически изменять объём предоставляемых потребителям облачных услуг может быть использована нарушителем для реализации угрозы. При этом успешно реализованная угроза в отношении всего лишь одного облачного сервиса позволит нарушить доступность всей облачной системы";"Внешний нарушитель с низким потенциалом; Внутренний нарушитель с низким потенциалом";"0";"0";"1";"Опубликована";"2015-03-20 00:00:00";"2019-02-08 00:00:00";"";"thrlist.xlsx · Sheet · строка 45"
